Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Hecho 56 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Robo,-32.889171,-68.813063,14/03/2023
Hecho 57 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Incendio,-38.919527,-68.097985,04/07/2024
Hecho 58 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Evento cultural,-26.778573,-65.234793,14/09/2018
Hecho 59 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Emergencia sanitaria,-26.844827,-65.256562,07/10/2022
Hecho 60 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Evento cultural,-32.962644,-60.677226,10/07/2018
Hecho 61 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Evento cultural,-31.633313,-60.669899,25/05/2021
Hecho 62 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Incendio,-32.922127,-68.850383,02/12/2023
Hecho 63 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Delito informático,-31.60871,-60.698343,18/02/2021
Hecho 64 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Corte de servicios,-31.396279,-64.192916,23/07/2022
Hecho 65 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Corte de servicios,-34.602317,-58.409292,21/11/2022
Hecho 66 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Evento cultural,-32.906044,-60.612708,16/05/2020
Hecho 67 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Evento cultural,-32.897208,-68.883731,28/10/2018
Hecho 68 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Emergencia sanitaria,-26.845904,-65.183626,19/02/2024
Hecho 69 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Corte de servicios,-32.855327,-68.861465,08/04/2021
Hecho 70 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Emergencia sanitaria,-34.92016,-57.934507,18/05/2020
Hecho 71 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Hallazgo policial,-32.951057,-60.649656,10/07/2020
Hecho 72 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Corte de servicios,-26.833183,-65.251435,14/04/2024
Hecho 73 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Robo,-24.810962,-65.404702,20/03/2021
Hecho 74 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Manifestación,-31.423292,-64.159828,15/05/2019
Hecho 75 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Robo,-31.63163,-60.716899,28/12/2022
Hecho 76 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Corte de servicios,-32.921042,-68.819424,13/07/2018
Hecho 77 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Emergencia sanitaria,-31.397659,-64.212324,06/12/2018
Hecho 78 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Manifestación,-26.838208,-65.219587,12/09/2022
Hecho 79 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.617218,-58.413743,20/12/2018
Hecho 80 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Hallazgo policial,-32.854543,-68.832896,29/10/2022
Hecho 81 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Robo,-34.634549,-58.365944,14/09/2019
Hecho 82 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Robo,-32.949042,-60.625539,10/01/2022
Hecho 83 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Evento cultural,-32.866718,-68.858483,21/08/2020
Hecho 84 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Accidente de tránsito,-32.960865,-60.636968,09/02/2018
Hecho 85 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-38.040864,-57.577432,07/09/2018
Hecho 86 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Incendio,-32.919491,-68.82239,18/08/2020
Hecho 87 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Delito informático,-38.918307,-68.020979,14/12/2020
Hecho 88 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Emergencia sanitaria,-31.623213,-60.67228,27/02/2022
Hecho 89 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.618622,-58.354268,04/12/2021
Hecho 90 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Delito informático,-37.993772,-57.576209,12/01/2018
Hecho 91 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Emergencia sanitaria,-32.915391,-60.631825,27/12/2022
Hecho 92 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Evento cultural,-31.622508,-60.734351,23/06/2022
Hecho 93 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Emergencia sanitaria,-32.867258,-68.863136,17/10/2022
Hecho 94 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Delito informático,-31.642317,-60.719171,01/11/2019
Hecho 95 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.614458,-58.413535,29/02/2020
Hecho 96 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Accidente de tránsito,-38.9819,-68.025957,12/01/2021
Hecho 97 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Robo,-38.016608,-57.562434,09/11/2020
Hecho 98 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Incendio,-31.396706,-64.159673,29/10/2023
Hecho 99 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Accidente de tránsito,-31.650348,-60.675919,12/09/2021
Hecho 100 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Hallazgo policial,-34.960972,-57.927295,20/08/2020
Hecho 101 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Accidente de tránsito,-38.924615,-68.033691,12/12/2022
Hecho 102 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Manifestación,-38.014507,-57.549371,26/06/2019
Hecho 103 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Robo,-32.919129,-68.818026,05/09/2022
Hecho 104 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Delito informático,-32.950496,-60.628309,28/12/2020
Hecho 105 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Incendio,-26.778403,-65.247839,23/09/2018
Hecho 106 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Corte de servicios,-38.946126,-68.048051,26/12/2020
Hecho 107 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Evento cultural,-31.648388,-60.696208,25/06/2021
Hecho 108 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Robo,-38.020851,-57.512182,19/08/2019
Hecho 109 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Corte de servicios,-32.8897,-68.851982,18/05/2020
Hecho 110 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Manifestación,-32.94021,-60.618699,13/07/2018
Hecho 111 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Hallazgo policial,-31.382893,-64.196743,26/06/2024
Hecho 112 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Delito informático,-26.842332,-65.191125,04/02/2022
Hecho 113 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Accidente de tránsito,-32.926081,-68.843005,05/12/2022
Hecho 114 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Robo,-34.907383,-57.981905,02/05/2020
Hecho 115 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Accidente de tránsito,-31.606304,-60.676226,27/07/2018
Hecho 116 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Corte de servicios,-24.769147,-65.411766,29/09/2021
Hecho 117 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Corte de servicios,-26.841315,-65.240321,02/03/2019
Hecho 118 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Incendio,-32.943391,-60.634037,03/02/2022
Hecho 119 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Corte de servicios,-34.918719,-57.926787,24/01/2020
Hecho 120 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Accidente de tránsito,-31.602078,-60.691687,10/01/2018
Hecho 121 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Delito informático,-32.908717,-60.64245,10/09/2024
Hecho 122 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Evento cultural,-24.783748,-65.433467,07/03/2024
Hecho 123 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Emergencia sanitaria,-24.75542,-65.402112,10/03/2021
Hecho 124 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Emergencia sanitaria,-38.978065,-68.069108,24/03/2020
Hecho 125 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Accidente de tránsito,-38.927422,-68.038751,04/07/2023
Hecho 126 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Accidente de tránsito,-32.978373,-60.644595,06/12/2024
Hecho 127 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Delito informático,-32.923117,-60.651451,12/02/2019
Hecho 128 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Evento cultural,-31.633498,-60.714776,22/11/2023
Hecho 129 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Corte de servicios,-38.964573,-68.060629,31/12/2020
Hecho 130 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Accidente de tránsito,-32.874232,-68.828906,05/08/2018
Hecho 131 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Emergencia sanitaria,-32.972976,-60.625921,15/06/2018
Hecho 132 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Corte de servicios,-32.922489,-60.620038,03/01/2020
Hecho 133 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Manifestación,-31.633289,-60.739581,14/06/2023
Hecho 134 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Incendio,-32.905228,-60.650106,05/12/2021
Hecho 135 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Evento cultural,-24.78795,-65.395308,01/10/2018
Hecho 136 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Corte de servicios,-24.818318,-65.42885,28/07/2021
Hecho 137 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Accidente de tránsito,-26.812827,-65.256443,02/09/2021
Hecho 138 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Emergencia sanitaria,-34.618075,-58.402535,04/02/2022
Hecho 139 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Delito informático,-31.614941,-60.674226,05/05/2023
Hecho 140 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-38.030728,-57.53033,14/05/2018
Hecho 141 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Hallazgo policial,-32.878351,-68.88466,22/10/2022
Hecho 142 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Incendio,-32.940649,-60.636569,31/12/2021
Hecho 143 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-38.036052,-57.572317,12/07/2018
Hecho 144 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Robo,-31.634415,-60.706365,23/09/2024
Hecho 145 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Accidente de tránsito,-24.807424,-65.444889,11/02/2020
Hecho 146 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Hallazgo policial,-26.816626,-65.228874,25/04/2019
Hecho 147 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Accidente de tránsito,-26.827727,-65.202207,13/03/2020
Hecho 148 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Manifestación,-38.038908,-57.577368,18/02/2020
Hecho 149 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Corte de servicios,-24.764929,-65.430031,07/01/2023
Hecho 150 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Incendio,-31.428694,-64.162143,10/09/2023
Hecho 151 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Emergencia sanitaria,-38.040451,-57.534145,01/12/2021
Hecho 152 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Robo,-31.428753,-64.203092,26/12/2022
Hecho 153 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Incendio,-32.873266,-68.873663,18/07/2021
Hecho 154 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Hallazgo policial,-38.973489,-68.038772,17/01/2022
Hecho 155 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Hallazgo policial,-34.627061,-58.402342,30/09/2019
Hecho 156 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Delito informático,-24.754195,-65.390351,26/06/2020
Hecho 157 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Evento cultural,-32.945615,-60.664034,14/03/2023
Hecho 158 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Hallazgo policial,-24.787191,-65.39012,09/01/2021
Hecho 159 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Corte de servicios,-31.381438,-64.156282,24/03/2023
Hecho 160 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Emergencia sanitaria,-38.946302,-68.050085,17/04/2022
Hecho 161 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Evento cultural,-32.971319,-60.657201,23/08/2018
Hecho 162 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Hallazgo policial,-31.651483,-60.721195,01/11/2024
Hecho 163 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Manifestación,-34.942404,-57.938598,02/11/2023
Hecho 164 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Corte de servicios,-31.455046,-64.191537,22/02/2024
Hecho 165 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Manifestación,-32.928232,-60.680232,11/11/2021
Hecho 166 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Corte de servicios,-34.948575,-57.972942,25/09/2019
Hecho 167 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Evento cultural,-32.914198,-68.838273,30/04/2021
Hecho 168 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Evento cultural,-34.925612,-57.979927,08/11/2024
Hecho 169 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Manifestación,-38.042339,-57.56313,27/08/2021
Hecho 170 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-38.03152,-57.545653,09/12/2018
Hecho 171 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Accidente de tránsito,-32.942265,-60.642016,28/03/2024
Hecho 172 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Accidente de tránsito,-32.858225,-68.866799,25/08/2022
Hecho 173 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Manifestación,-34.900213,-57.947848,20/01/2023
Hecho 174 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Robo,-26.809301,-65.222944,26/11/2024
Hecho 175 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Manifestación,-38.980103,-68.080794,21/05/2024
Hecho 176 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Delito informático,-24.742952,-65.416196,23/08/2019
Hecho 177 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Manifestación,-32.916007,-68.845911,09/12/2023
Hecho 178 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Accidente de tránsito,-31.409848,-64.172737,24/05/2021
Hecho 179 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Corte de servicios,-24.777899,-65.399144,05/08/2020
Hecho 180 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Corte de servicios,-38.928354,-68.07898,16/11/2018
Hecho 181 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Incendio,-34.884171,-57.945013,24/08/2020
Hecho 182 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Robo,-32.896696,-68.861601,06/01/2019
Hecho 183 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Accidente de tránsito,-24.784907,-65.422819,30/01/2020
Hecho 184 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Delito informático,-26.840632,-65.221529,24/06/2021
Hecho 185 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.616969,-58.386316,21/12/2020
Hecho 186 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Incendio,-24.766374,-65.424814,22/04/2019
Hecho 187 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Emergencia sanitaria,-38.027037,-57.553927,25/05/2019
Hecho 188 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Incendio,-34.919236,-57.98612,09/06/2024
Hecho 189 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Emergencia sanitaria,-38.009705,-57.570554,19/01/2023
Hecho 190 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Manifestación,-32.912941,-68.849551,23/09/2021
Hecho 191 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Delito informático,-32.925255,-60.656235,25/09/2020
Hecho 192 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Manifestación,-26.768832,-65.228301,24/11/2020
Hecho 193 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Delito informático,-26.793318,-65.257147,08/11/2022
